timestamp,Bx,By,Bz,B_total
2026-08-18 01:26:00,20191.07,937.45,44674.83,49034.46
2026-08-18 01:27:00,20191.35,937.36,44674.84,49034.58
2026-08-18 01:28:00,20191.8,937.27,44674.88,49034.81
2026-08-18 01:29:00,20192.34,937.38,44674.89,49035.01
2026-08-18 01:30:00,20192.27,937.62,44674.72,49034.84
2026-08-18 01:31:00,20191.86,937.61,44674.73,49034.68
2026-08-18 01:32:00,20191.41,937.94,44674.73,49034.52
2026-08-18 01:33:00,20191.25,938.23,44674.67,49034.41
2026-08-18 01:34:00,20191.42,938.72,44674.55,49034.37
2026-08-18 01:35:00,20191.9,938.84,44674.49,49034.51
2026-08-18 01:36:00,20192.68,938.72,44674.56,49034.9
2026-08-18 01:37:00,20193.23,938.59,44674.54,49035.1
2026-08-18 01:38:00,20193.45,938.92,44674.33,49035.02
2026-08-18 01:39:00,20193.27,939.29,44674.13,49034.76
2026-08-18 01:40:00,20192.93,939.79,44673.98,49034.5
2026-08-18 01:41:00,20192.25,940.52,44673.78,49034.05
2026-08-18 01:42:00,20190.94,941.18,44673.59,49033.34
2026-08-18 01:43:00,20189.77,941.46,44673.59,49032.88
2026-08-18 01:44:00,20189.32,941.26,44673.74,49032.85
2026-08-18 01:45:00,20189.64,941.19,44674.0,49033.19
2026-08-18 01:46:00,20190.24,941.26,44673.95,49033.4
2026-08-18 01:47:00,20190.35,941.35,44673.89,49033.4
2026-08-18 01:48:00,20190.5,941.38,44673.85,49033.42
2026-08-18 01:49:00,20190.63,941.77,44673.67,49033.3
2026-08-18 01:50:00,20190.47,941.94,44673.47,49033.06
2026-08-18 01:51:00,20190.5,941.61,44673.49,49033.09
2026-08-18 01:52:00,20190.1,940.2,44673.8,49033.17
2026-08-18 01:53:00,20188.67,940.21,44673.87,49032.67
2026-08-18 01:54:00,20186.91,940.17,44674.04,49032.1
2026-08-18 01:55:00,20185.95,939.11,44674.46,49032.07
2026-08-18 01:56:00,20185.35,939.07,44674.62,49031.96
