timestamp,Bx,By,Bz,B_total
2026-06-23 00:00:00,20197.58,904.02,44667.04,49029.46
2026-06-23 00:01:00,20198.14,903.66,44667.08,49029.71
2026-06-23 00:02:00,20197.96,903.29,44667.05,49029.6
2026-06-23 00:03:00,20197.82,902.78,44667.18,49029.65
2026-06-23 00:04:00,20197.47,902.64,44667.18,49029.5
2026-06-23 00:05:00,20197.24,902.36,44667.2,49029.43
2026-06-23 00:06:00,20197.07,902.04,44667.28,49029.42
2026-06-23 00:07:00,20196.83,901.98,44667.26,49029.3
2026-06-23 00:08:00,20196.76,902.2,44667.18,49029.21
2026-06-23 00:09:00,20196.97,902.14,44667.1,49029.23
2026-06-23 00:10:00,20197.38,902.15,44667.0,49029.3
2026-06-23 00:11:00,20197.69,902.18,44666.93,49029.37
2026-06-23 00:12:00,20197.88,902.11,44666.83,49029.35
2026-06-23 00:13:00,20197.88,901.93,44666.84,49029.37
2026-06-23 00:14:00,20197.96,901.84,44666.9,49029.44
2026-06-23 00:15:00,20198.39,901.79,44666.97,49029.68
2026-06-23 00:16:00,20198.04,901.63,44666.93,49029.51
2026-06-23 00:17:00,20197.43,901.71,44666.83,49029.16
2026-06-23 00:18:00,20197.25,901.48,44666.92,49029.18
2026-06-23 00:19:00,20196.91,901.07,44667.03,49029.13
2026-06-23 00:20:00,20196.3,900.98,44667.07,49028.9
2026-06-23 00:21:00,20195.76,900.88,44667.14,49028.74
2026-06-23 00:22:00,20195.27,901.02,44667.12,49028.54
2026-06-23 00:23:00,20195.03,900.87,44667.16,49028.47
2026-06-23 00:24:00,20194.73,900.97,44667.12,49028.32
2026-06-23 00:25:00,20194.82,900.92,44667.12,49028.35
2026-06-23 00:26:00,20194.82,900.7,44667.14,49028.36
2026-06-23 00:27:00,20194.39,901.0,44667.08,49028.14
2026-06-23 00:28:00,20194.01,901.44,44666.94,49027.85
2026-06-23 00:29:00,20193.79,901.72,44666.8,49027.64
2026-06-23 00:30:00,20193.74,901.86,44666.77,49027.6
2026-06-23 00:31:00,20193.63,901.97,44666.74,49027.53
2026-06-23 00:32:00,20193.6,901.87,44666.72,49027.51
2026-06-23 00:33:00,20193.57,902.21,44666.69,49027.47
2026-06-23 00:34:00,20193.3,902.51,44666.61,49027.29
2026-06-23 00:35:00,20193.04,902.78,44666.54,49027.12
2026-06-23 00:36:00,20192.73,903.3,44666.39,49026.87
2026-06-23 00:37:00,20192.38,903.77,44666.22,49026.59
2026-06-23 00:38:00,20192.21,904.19,44666.12,49026.43
2026-06-23 00:39:00,20192.28,904.43,44666.07,49026.42
2026-06-23 00:40:00,20192.33,904.5,44666.05,49026.41
2026-06-23 00:41:00,20192.44,905.09,44665.94,49026.37
2026-06-23 00:42:00,20192.6,905.49,44665.74,49026.26
2026-06-23 00:43:00,20192.58,905.48,44665.74,49026.26
2026-06-23 00:44:00,20192.5,905.65,44665.71,49026.2
2026-06-23 00:45:00,20192.63,905.82,44665.7,49026.26
2026-06-23 00:46:00,20192.53,905.76,44665.76,49026.26
2026-06-23 00:47:00,20192.33,906.14,44665.73,49026.16
2026-06-23 00:48:00,20191.97,906.36,44665.71,49026.0
2026-06-23 00:49:00,20191.66,906.55,44665.67,49025.84
2026-06-23 00:50:00,20191.38,906.98,44665.61,49025.67
2026-06-23 00:51:00,20191.16,907.27,44665.59,49025.56
2026-06-23 00:52:00,20190.64,907.97,44665.41,49025.2
2026-06-23 00:53:00,20190.21,908.44,44665.31,49024.95
2026-06-23 00:54:00,20190.17,908.72,44665.34,49024.97
2026-06-23 00:55:00,20190.33,908.8,44665.4,49025.09
2026-06-23 00:56:00,20190.28,908.98,44665.43,49025.09
2026-06-23 00:57:00,20190.46,908.92,44665.5,49025.23
2026-06-23 00:58:00,20190.71,908.9,44665.56,49025.38
2026-06-23 00:59:00,20190.75,908.93,44665.59,49025.42
2026-06-23 01:00:00,20190.72,908.75,44665.61,49025.43
2026-06-23 01:01:00,20190.67,908.39,44665.68,49025.46
2026-06-23 01:02:00,20190.44,908.33,44665.67,49025.36
2026-06-23 01:03:00,20190.44,908.32,44665.62,49025.3
2026-06-23 01:04:00,20190.26,908.3,44665.54,49025.17
2026-06-23 01:05:00,20190.27,908.24,44665.66,49025.29
2026-06-23 01:06:00,20190.44,908.24,44665.64,49025.33
2026-06-23 01:07:00,20190.49,908.01,44665.7,49025.4
2026-06-23 01:08:00,20191.04,907.65,44666.09,49025.98
2026-06-23 01:09:00,20190.96,907.41,44666.16,49026.0
2026-06-23 01:10:00,20191.21,907.2,44666.46,49026.37
2026-06-23 01:11:00,20191.06,907.29,44666.32,49026.17
2026-06-23 01:12:00,20191.05,907.69,44666.16,49026.04
2026-06-23 01:13:00,20191.09,907.96,44665.99,49025.9
2026-06-23 01:14:00,20191.12,907.66,44666.0,49025.91
2026-06-23 01:15:00,20190.98,907.39,44666.07,49025.92
2026-06-23 01:16:00,20190.75,907.29,44666.0,49025.76
2026-06-23 01:17:00,20190.5,907.01,44666.07,49025.72
2026-06-23 01:18:00,20190.42,907.12,44666.13,49025.74
2026-06-23 01:19:00,20190.3,907.44,44666.06,49025.63
2026-06-23 01:20:00,20190.45,907.37,44666.08,49025.72
2026-06-23 01:21:00,20190.71,907.2,44666.24,49025.96
2026-06-23 01:22:00,20190.96,907.08,44666.4,49026.21
2026-06-23 01:23:00,20191.11,906.92,44666.57,49026.41
2026-06-23 01:24:00,20191.19,906.72,44666.61,49026.49
2026-06-23 01:25:00,20191.13,906.64,44666.65,49026.49
2026-06-23 01:26:00,20190.96,906.82,44666.61,49026.4
2026-06-23 01:27:00,20191.08,906.7,44666.64,49026.47
2026-06-23 01:28:00,20191.26,906.58,44666.66,49026.56
2026-06-23 01:29:00,20191.21,906.52,44666.67,49026.53
2026-06-23 01:30:00,20191.14,906.27,44666.73,49026.56
2026-06-23 01:31:00,20191.1,906.1,44666.82,49026.61
2026-06-23 01:32:00,20190.92,906.25,44666.76,49026.48
2026-06-23 01:33:00,20191.06,906.02,44666.78,49026.56
2026-06-23 01:34:00,20191.17,905.84,44666.81,49026.63
2026-06-23 01:35:00,20190.99,905.77,44666.74,49026.49
2026-06-23 01:36:00,20190.86,905.71,44666.78,49026.47
2026-06-23 01:37:00,20190.88,905.7,44666.83,49026.54
2026-06-23 01:38:00,20190.82,905.94,44666.83,49026.51
2026-06-23 01:39:00,20190.65,906.01,44666.78,49026.39
2026-06-23 01:40:00,20190.55,905.96,44666.78,49026.36
2026-06-23 01:41:00,20190.29,906.13,44666.73,49026.21
2026-06-23 01:42:00,20190.1,906.29,44666.63,49026.04
2026-06-23 01:43:00,20190.23,906.08,44666.67,49026.13
2026-06-23 01:44:00,20190.29,905.98,44666.76,49026.23
2026-06-23 01:45:00,20190.27,906.15,44666.7,49026.18
2026-06-23 01:46:00,20190.65,906.04,44666.71,49026.34
2026-06-23 01:47:00,20190.99,905.76,44666.77,49026.54
2026-06-23 01:48:00,20191.03,905.87,44666.75,49026.54
2026-06-23 01:49:00,20190.93,905.93,44666.7,49026.45
2026-06-23 01:50:00,20190.53,906.07,44666.64,49026.24
2026-06-23 01:51:00,20190.45,906.26,44666.56,49026.15
2026-06-23 01:52:00,20190.19,906.52,44666.42,49025.9
2026-06-23 01:53:00,20190.03,906.39,44666.38,49025.8
2026-06-23 01:54:00,20190.04,906.31,44666.48,49025.9
2026-06-23 01:55:00,20190.02,906.48,44666.48,49025.9
2026-06-23 01:56:00,20190.08,906.71,44666.46,49025.91
2026-06-23 01:57:00,20190.35,906.63,44666.5,49026.06
2026-06-23 01:58:00,20190.39,906.56,44666.47,49026.05
2026-06-23 01:59:00,20190.38,906.71,44666.49,49026.07
2026-06-23 02:00:00,20190.25,907.01,44666.35,49025.89
2026-06-23 02:01:00,20190.08,907.21,44666.2,49025.68
2026-06-23 02:02:00,20190.08,907.16,44666.15,49025.64
2026-06-23 02:03:00,20190.26,907.1,44666.16,49025.71
2026-06-23 02:04:00,20190.39,906.89,44666.21,49025.81
2026-06-23 02:05:00,20190.28,906.92,44666.1,49025.67
2026-06-23 02:06:00,20190.5,906.96,44666.1,49025.77
2026-06-23 02:07:00,20190.63,907.07,44666.16,49025.87
2026-06-23 02:08:00,20190.76,907.13,44666.14,49025.9
2026-06-23 02:09:00,20190.9,907.15,44666.14,49025.95
2026-06-23 02:10:00,20190.83,907.25,44665.99,49025.8
2026-06-23 02:11:00,20190.82,907.27,44665.96,49025.77
2026-06-23 02:12:00,20190.98,907.06,44666.13,49025.98
2026-06-23 02:13:00,20190.71,907.28,44665.87,49025.64
2026-06-23 02:14:00,20190.98,907.06,44666.08,49025.94
2026-06-23 02:15:00,20190.92,907.16,44666.13,49025.96
2026-06-23 02:16:00,20190.9,907.23,44666.13,49025.95
2026-06-23 02:17:00,20190.82,907.45,44666.14,49025.93
2026-06-23 02:18:00,20190.98,907.59,44666.17,49026.03
2026-06-23 02:19:00,20191.26,907.78,44666.16,49026.15
2026-06-23 02:20:00,20191.48,908.06,44666.12,49026.21
2026-06-23 02:21:00,20191.64,908.19,44665.95,49026.12
2026-06-23 02:22:00,20191.89,908.03,44665.95,49026.19
2026-06-23 02:23:00,20191.93,908.23,44665.9,49026.18
2026-06-23 02:24:00,20191.97,908.2,44665.87,49026.17
2026-06-23 02:25:00,20192.09,908.08,44665.99,49026.33
2026-06-23 02:26:00,20192.08,908.17,44666.02,49026.34
2026-06-23 02:27:00,20191.93,908.17,44666.04,49026.29
2026-06-23 02:28:00,20191.92,908.18,44666.08,49026.32
2026-06-23 02:29:00,20192.03,908.05,44666.18,49026.46
2026-06-23 02:30:00,20191.99,908.19,44666.31,49026.56
2026-06-23 02:31:00,20191.9,908.19,44666.26,49026.47
2026-06-23 02:32:00,20191.8,908.29,44666.19,49026.38
2026-06-23 02:33:00,20191.96,908.34,44666.29,49026.54
2026-06-23 02:34:00,20192.06,908.34,44666.34,49026.62
2026-06-23 02:35:00,20192.23,908.38,44666.54,49026.88
2026-06-23 02:36:00,20192.19,908.55,44666.4,49026.74
2026-06-23 02:37:00,20192.23,908.49,44666.4,49026.74
2026-06-23 02:38:00,20192.32,908.38,44666.47,49026.85
2026-06-23 02:39:00,20192.33,908.42,44666.56,49026.93
2026-06-23 02:40:00,20192.34,908.63,44666.55,49026.92
2026-06-23 02:41:00,20191.96,909.07,44666.47,49026.71
