timestamp,Bx,By,Bz,B_total
2026-03-15 00:00:00,20193.4,865.92,44658.17,49019.11
2026-03-15 00:01:00,20194.21,865.7,44657.63,49018.94
2026-03-15 00:02:00,20195.15,865.79,44656.94,49018.7
2026-03-15 00:03:00,20195.69,865.54,44656.4,49018.43
2026-03-15 00:04:00,20196.56,865.93,44655.65,49018.12
2026-03-15 00:05:00,20197.72,866.25,44654.9,49017.93
2026-03-15 00:06:00,20199.24,867.15,44653.97,49017.7
2026-03-15 00:07:00,20199.34,869.3,44652.56,49016.49
2026-03-15 00:08:00,20200.14,869.32,44651.83,49016.17
2026-03-15 00:09:00,20201.41,869.85,44651.29,49016.16
2026-03-15 00:10:00,20202.54,870.7,44650.45,49015.89
2026-03-15 00:11:00,20203.73,871.77,44649.74,49015.72
2026-03-15 00:12:00,20204.67,871.27,44649.36,49015.77
2026-03-15 00:13:00,20205.42,872.42,44648.75,49015.56
2026-03-15 00:14:00,20207.04,873.49,44648.13,49015.68
2026-03-15 00:15:00,20208.79,873.95,44647.6,49015.92
2026-03-15 00:16:00,20209.44,874.77,44647.14,49015.77
2026-03-15 00:17:00,20209.93,876.05,44646.5,49015.43
2026-03-15 00:18:00,20210.02,878.27,44645.77,49014.82
2026-03-15 00:19:00,20209.19,880.64,44644.89,49013.71
2026-03-15 00:20:00,20209.1,881.32,44644.43,49013.29
2026-03-15 00:21:00,20208.99,882.51,44644.36,49013.18
2026-03-15 00:22:00,20208.33,883.4,44644.03,49012.62
2026-03-15 00:23:00,20207.6,883.94,44644.04,49012.34
2026-03-15 00:24:00,20206.86,885.54,44643.81,49011.86
2026-03-15 00:25:00,20205.22,887.29,44643.5,49010.93
2026-03-15 00:26:00,20203.52,888.46,44643.21,49010.02
2026-03-15 00:27:00,20202.7,888.4,44643.66,49010.09
2026-03-15 00:28:00,20201.09,889.64,44643.61,49009.41
2026-03-15 00:29:00,20199.76,889.76,44643.98,49009.19
2026-03-15 00:30:00,20198.11,890.87,44644.04,49008.59
2026-03-15 00:31:00,20197.69,890.47,44644.48,49008.82
2026-03-15 00:32:00,20196.3,891.7,44644.54,49008.33
2026-03-15 00:33:00,20194.96,892.39,44644.52,49007.78
2026-03-15 00:34:00,20193.91,892.27,44644.93,49007.73
2026-03-15 00:35:00,20192.39,892.93,44645.12,49007.27
2026-03-15 00:36:00,20190.18,893.85,44645.11,49006.39
2026-03-15 00:37:00,20187.42,895.89,44644.91,49005.11
2026-03-15 00:38:00,20185.6,897.37,44644.85,49004.34
2026-03-15 00:39:00,20184.19,898.77,44644.85,49003.79
2026-03-15 00:40:00,20182.88,899.88,44644.93,49003.34
2026-03-15 00:41:00,20182.27,900.58,44645.08,49003.22
2026-03-15 00:42:00,20181.13,901.35,44645.19,49002.89
2026-03-15 00:43:00,20180.49,901.51,44645.44,49002.86
2026-03-15 00:44:00,20179.55,901.57,44645.73,49002.74
2026-03-15 00:45:00,20179.18,901.4,44646.04,49002.87
2026-03-15 00:46:00,20178.47,901.85,44646.22,49002.77
2026-03-15 00:47:00,20177.45,902.82,44646.18,49002.32
2026-03-15 00:48:00,20176.76,903.91,44646.07,49001.97
2026-03-15 00:49:00,20176.11,904.88,44645.95,49001.6
2026-03-15 00:50:00,20175.12,906.11,44645.73,49001.02
2026-03-15 00:51:00,20174.5,906.88,44645.68,49000.75
