timestamp,B_total_nT,B_baseline_nT,chi
1963-11-28 01:00:00,4.3335896,5.211516857147217,0.16845907388940456
1963-11-28 02:00:00,5.012983,5.20192289352417,0.036321193544207854
1963-11-28 03:00:00,3.224903,5.107452869415283,0.3685887683856359
1963-11-28 04:00:00,1.9104973,5.0129828453063965,0.6188901165766401
1963-11-28 05:00:00,2.0736442,4.966674327850342,0.5824883967935834
1963-11-28 06:00:00,6.67383,5.0129828453063965,0.33130917026714723
1963-11-28 07:00:00,6.0448327,5.107452869415283,0.18353176446310768
1963-11-28 08:00:00,4.5044427,5.0129828453063965,0.10144462273184464
1963-11-28 09:00:00,3.916631,4.966674327850342,0.21141779693695867
1963-11-28 10:00:00,4.180909,4.920365810394287,0.15028489386555693
1963-11-28 11:00:00,4.2355638,4.850266695022583,0.1267359051859712
1963-11-28 12:00:00,4.2731724,4.780167579650879,0.10606222327204737
1963-11-28 13:00:00,4.834253,4.807210206985474,0.005625430586599438
1963-11-28 14:00:00,4.3840623,4.807210206985474,0.08802359343031198
1963-11-28 15:00:00,5.8660035,4.807210206985474,0.22025109382816868
1963-11-28 16:00:00,6.403905,4.807210206985474,0.3321458058043635
1963-11-28 17:00:00,6.1919303,4.807210206985474,0.28805066294769743
1963-11-28 18:00:00,6.153048,4.807210206985474,0.27996234272036674
1963-11-28 19:00:00,6.3733826,4.807210206985474,0.32579652104618445
1963-11-28 20:00:00,6.2361846,4.807210206985474,0.2972564810985658
1963-11-28 21:00:00,5.1487865,4.877309322357178,0.055661268232084934
1963-11-28 22:00:00,4.2544093,4.807210206985474,0.11499411716595333
1963-11-28 23:00:00,5.04579,4.877309322357178,0.03454381544667946
1963-11-29 00:00:00,4.561798,4.698025465011597,0.028996728587997643
1963-11-29 01:00:00,4.3358965,4.698025465011597,0.07708110049723436
1963-11-29 02:00:00,4.9050994,4.698025465011597,0.04407679959757391
1963-11-29 03:00:00,5.4230986,4.869676113128662,0.11364666523244632
1963-11-29 04:00:00,4.588028,4.869676113128662,0.057837144090079715
1963-11-29 05:00:00,4.628175,4.869676113128662,0.049592894007510636
1963-11-29 06:00:00,4.20238,4.731213808059692,0.11177546590682881
1963-11-29 07:00:00,2.8354893,4.6081013679504395,0.38467298206748785
1963-11-29 08:00:00,3.155947,4.6081013679504395,0.31513074084349885
1963-11-29 09:00:00,3.176476,4.6081013679504395,0.3106757538294726
1963-11-29 10:00:00,6.6820655,4.731213808059692,0.41233640202954885
1963-11-29 11:00:00,7.323933,4.869676113128662,0.5039877302715032
1963-11-29 12:00:00,5.3935146,4.975444793701172,0.08402662612330145
1963-11-29 13:00:00,4.662617,4.975444793701172,0.06287429568581628
1963-11-29 14:00:00,5.9506307,5.097288370132446,0.16741102969433388
1963-11-29 15:00:00,9.698453,5.097288370132446,0.9026690752579536
1963-11-29 16:00:00,7.930321,5.097288370132446,0.5557921468697752
1963-11-29 17:00:00,7.918333,5.097288370132446,0.5534402762036722
1963-11-29 18:00:00,8.067838,5.097288370132446,0.5827705103799554
1963-11-29 19:00:00,4.4395947,4.975444793701172,0.10769892346980814
1963-11-29 20:00:00,4.8805737,4.892836570739746,0.0025062805634755237
1963-11-29 21:00:00,7.3355303,4.892836570739746,0.4992387697832587
1963-11-29 22:00:00,3.6496575,4.892836570739746,0.25408146478971266
1963-11-29 23:00:00,6.1204576,4.892836570739746,0.25090171329907235
1963-11-30 00:00:00,6.257795,5.149307012557983,0.21526932493316076
1963-11-30 01:00:00,7.33553,5.40830659866333,0.356345035254171
1963-11-30 02:00:00,4.596738,5.40830659866333,0.15005967620816088
1963-11-30 03:00:00,6.8212905,5.672072649002075,0.20260985976817245
1963-11-30 04:00:00,8.99055,6.035544157028198,0.4896005740806374
1963-11-30 05:00:00,11.811012,6.189126253128052,0.9083488985373475
1963-11-30 06:00:00,4.9335585,6.189126253128052,0.20286672750341428
1963-11-30 07:00:00,8.293371,6.469930171966553,0.2818331852321134
1963-11-30 08:00:00,9.920181,6.751677989959717,0.4692912323670787
1963-11-30 09:00:00,10.386048,7.0726118087768555,0.4684883884149258
1963-11-30 10:00:00,9.600521,7.329731464385986,0.3098052956364907
1963-11-30 11:00:00,10.696261,7.335530042648315,0.45814431182981563
1963-11-30 12:00:00,6.558201,7.335530042648315,0.10596769448795454
1963-11-30 13:00:00,10.3179455,7.626931667327881,0.3528304605830107
1963-11-30 14:00:00,4.4833026,7.626931667327881,0.4121748051792429
1963-11-30 15:00:00,5.27731,7.335530042648315,0.2805823350350831
1963-11-30 16:00:00,6.0091596,7.0784101486206055,0.1510580146103711
1963-12-01 20:00:00,4.746578,4.447226285934448,0.0673120528103101
1963-12-01 21:00:00,4.43396,4.4339599609375,0.0
1963-12-01 22:00:00,5.0059967,4.537001609802246,0.1033711544836007
1963-12-01 23:00:00,6.873136,4.640043258666992,0.48126550990876776
1963-12-02 00:00:00,6.153048,4.6464996337890625,0.32423297609618884
1963-12-02 01:00:00,7.037045,4.652956008911133,0.5123815889310144
1963-12-02 02:00:00,8.114801,4.67061972618103,0.7374142796024087
1963-12-02 03:00:00,7.0114193,4.688283443450928,0.49551949681250995
1963-12-02 04:00:00,6.503076,4.717430830001831,0.3785207056241386
1963-12-02 05:00:00,5.269725,4.746578216552734,0.11021552905396513
1963-12-02 06:00:00,4.8052053,4.7758917808532715,0.006137820044007309
1963-12-02 07:00:00,7.1126647,4.805205345153809,0.4801999474855524
1963-12-02 08:00:00,4.1206794,4.7758917808532715,0.1371916350722987
1963-12-02 09:00:00,5.707013,4.9056010246276855,0.16336675191007063
