event_id,event_type,start_time,end_time,duration_hours,loading_start,loading_end,loading_duration_hours,loading_chi_rise,peak_time,peak_chi,distance_from_boundary,relaxation_start,relaxation_end,relaxation_duration_hours,relaxation_chi_drop,reload_start,reload_end,reload_duration_hours,reload_chi_rise,confidence,notes
BOW_20251219_024000,single_bow,2025-12-19T01:40:00+00:00,2025-12-19T05:41:00+00:00,4.016666666666667,2025-12-19T01:40:00+00:00,2025-12-19T02:40:00+00:00,1.0,0.11227272656272495,2025-12-19T02:40:00+00:00,0.14512336439506618,0.0048766356049338155,2025-12-19T02:40:00+00:00,2025-12-19T03:40:00+00:00,1.0,0.030347962331320436,2025-12-19T03:40:00+00:00,2025-12-19T05:41:00+00:00,2.0166666666666666,0.01775171973020291,1.0,
BOW_20251219_073200,single_bow,2025-12-19T06:31:00+00:00,2025-12-19T10:32:00+00:00,4.016666666666667,2025-12-19T06:31:00+00:00,2025-12-19T07:32:00+00:00,1.0166666666666666,0.09936979025131215,2025-12-19T07:32:00+00:00,0.1429235897592172,0.007076410240782788,2025-12-19T07:32:00+00:00,2025-12-19T08:32:00+00:00,1.0,0.10765692917384939,2025-12-19T08:32:00+00:00,2025-12-19T10:32:00+00:00,2.0,0.1073943261588868,1.0,
BOW_20251221_024300,single_bow,2025-12-21T01:36:00+00:00,2025-12-21T06:10:00+00:00,4.566666666666666,2025-12-21T01:36:00+00:00,2025-12-21T02:43:00+00:00,1.1166666666666667,0.03286110003406223,2025-12-21T02:43:00+00:00,0.1498161867248621,0.0001838132751378896,2025-12-21T02:43:00+00:00,2025-12-21T04:10:00+00:00,1.45,0.04837979070190972,2025-12-21T04:10:00+00:00,2025-12-21T06:10:00+00:00,2.0,0.25631598503467024,1.0,
BOW_20251221_162500,single_bow,2025-12-21T15:25:00+00:00,2025-12-21T19:29:00+00:00,4.066666666666666,2025-12-21T15:25:00+00:00,2025-12-21T16:25:00+00:00,1.0,0.07350320669142817,2025-12-21T16:25:00+00:00,0.13108553585148203,0.018914464148517968,2025-12-21T16:25:00+00:00,2025-12-21T17:29:00+00:00,1.0666666666666667,0.07281123497638514,2025-12-21T17:29:00+00:00,2025-12-21T19:29:00+00:00,2.0,0.20159799775366644,1.0,
BOW_20251222_024600,single_bow,2025-12-22T01:46:00+00:00,2025-12-22T05:46:00+00:00,4.0,2025-12-22T01:46:00+00:00,2025-12-22T02:46:00+00:00,1.0,0.11907841263411698,2025-12-22T02:46:00+00:00,0.14229362812144505,0.007706371878554941,2025-12-22T02:46:00+00:00,2025-12-22T03:46:00+00:00,1.0,0.06351221438221889,2025-12-22T03:46:00+00:00,2025-12-22T05:46:00+00:00,2.0,0.3046290432453673,1.0,
BOW_20251222_120200,single_bow,2025-12-22T11:01:00+00:00,2025-12-22T15:35:00+00:00,4.566666666666666,2025-12-22T11:01:00+00:00,2025-12-22T12:02:00+00:00,1.0166666666666666,0.1526881081405588,2025-12-22T12:02:00+00:00,0.16805160565440838,0.018051605654408387,2025-12-22T12:02:00+00:00,2025-12-22T13:02:00+00:00,1.0,0.08563918909199549,2025-12-22T13:02:00+00:00,2025-12-22T15:35:00+00:00,2.55,0.03334976294180518,1.0,
BOW_20251222_234000,single_bow,2025-12-22T22:40:00+00:00,2025-12-23T02:40:00+00:00,4.0,2025-12-22T22:40:00+00:00,2025-12-22T23:40:00+00:00,1.0,0.10079985062457422,2025-12-22T23:40:00+00:00,0.17607698452382078,0.02607698452382079,2025-12-22T23:40:00+00:00,2025-12-23T00:40:00+00:00,1.0,0.12471237690690806,2025-12-23T00:40:00+00:00,2025-12-23T02:40:00+00:00,2.0,0.021242096063644127,1.0,
BOW_20251223_104800,single_bow,2025-12-23T09:48:00+00:00,2025-12-23T13:48:00+00:00,4.0,2025-12-23T09:48:00+00:00,2025-12-23T10:48:00+00:00,1.0,0.16246261610119678,2025-12-23T10:48:00+00:00,0.16298163201906235,0.012981632019062356,2025-12-23T10:48:00+00:00,2025-12-23T11:48:00+00:00,1.0,0.15874669117908527,2025-12-23T11:48:00+00:00,2025-12-23T13:48:00+00:00,2.0,0.057697010418675476,1.0,
BOW_20251223_124900,single_bow,2025-12-23T11:49:00+00:00,2025-12-23T15:49:00+00:00,4.0,2025-12-23T11:49:00+00:00,2025-12-23T12:49:00+00:00,1.0,0.1529442897088374,2025-12-23T12:49:00+00:00,0.17495863455760058,0.024958634557600584,2025-12-23T12:49:00+00:00,2025-12-23T13:49:00+00:00,1.0,0.12855225428051698,2025-12-23T13:49:00+00:00,2025-12-23T15:49:00+00:00,2.0,0.4069750264160448,1.0,
BOW_20251223_202900,single_bow,2025-12-23T19:29:00+00:00,2025-12-23T23:43:00+00:00,4.233333333333333,2025-12-23T19:29:00+00:00,2025-12-23T20:29:00+00:00,1.0,0.15766750716264571,2025-12-23T20:29:00+00:00,0.16990537511156864,0.019905375111568646,2025-12-23T20:29:00+00:00,2025-12-23T21:29:00+00:00,1.0,0.07753206214049513,2025-12-23T21:29:00+00:00,2025-12-23T23:43:00+00:00,2.2333333333333334,0.4521345433766202,1.0,
