b_total,baseline,chi,chi_capped,timestamp_utc
51088.402,51110.06732359082,0.00042389542266981276,0.00042389542266981276,2025-12-26 19:38:33
51088.555,51110.06732359082,0.00042090188327512275,0.00042090188327512275,2025-12-26 19:38:33
51088.719,51110.06732359082,0.0004176931220939115,0.0004176931220939115,2025-12-26 19:38:33
51088.808,51110.06732359082,0.00041595178218456523,0.00041595178218456523,2025-12-26 19:38:33
51089.01,51110.06732359082,0.00041199952755876205,0.00041199952755876205,2025-12-26 19:38:33
51089.102,51110.06732359082,0.0004101994907985982,0.0004101994907985982,2025-12-26 19:38:33
51089.309,51110.06732359082,0.0004061494080880515,0.0004061494080880515,2025-12-26 19:38:33
51089.441,51110.06732359082,0.00040356674664951213,0.00040356674664951213,2025-12-26 19:38:33
51089.329,51110.06732359082,0.0004057580957489349,0.0004057580957489349,2025-12-26 19:38:33
51089.408,51110.06732359082,0.00040421241200907577,0.00040421241200907577,2025-12-26 19:38:33
51089.423,51110.06732359082,0.0004039189277547028,0.0004039189277547028,2025-12-26 19:38:33
51089.624,51110.06732359082,0.00039998623874593374,0.00039998623874593374,2025-12-26 19:38:33
51089.796,51110.06732359082,0.00039662095262901894,0.00039662095262901894,2025-12-26 19:38:33
51090.097,51110.06732359082,0.00039073170192438245,0.00039073170192438245,2025-12-26 19:38:33
51090.546,51110.06732359082,0.0003819467399097995,0.0003819467399097995,2025-12-26 19:38:33
51090.611,51110.06732359082,0.0003806749748075639,0.0003806749748075639,2025-12-26 19:38:33
51090.528,51110.06732359082,0.0003822989210151325,0.0003822989210151325,2025-12-26 19:38:33
51090.544,51110.06732359082,0.00038198587114372535,0.00038198587114372535,2025-12-26 19:38:33
51090.78,51110.06732359082,0.00037736838554146675,0.00037736838554146675,2025-12-26 19:38:33
51090.914,51110.06732359082,0.0003747465928690015,0.0003747465928690015,2025-12-26 19:38:33
51091.043,51110.06732359082,0.00037222262828127983,0.00037222262828127983,2025-12-26 19:38:33
51091.119,51110.06732359082,0.0003707356413923807,0.0003707356413923807,2025-12-26 19:38:33
51091.327,51110.06732359082,0.0003666659930649422,0.0003666659930649422,2025-12-26 19:38:33
51091.764,51110.06732359082,0.0003581158184537722,0.0003581158184537722,2025-12-26 19:38:33
51091.904,51110.06732359082,0.0003553766320795293,0.0003553766320795293,2025-12-26 19:38:33
51092.321,51110.06732359082,0.00034721776980761824,0.00034721776980761824,2025-12-26 19:38:33
51092.541,51110.06732359082,0.00034291333407676677,0.00034291333407676677,2025-12-26 19:38:33
51092.826,51110.06732359082,0.00033733713324339505,0.00033733713324339505,2025-12-26 19:38:33
51093.234,51110.06732359082,0.00032935436152422166,0.00032935436152422166,2025-12-26 19:38:33
51093.344,51110.06732359082,0.00032720214365872474,0.00032720214365872474,2025-12-26 19:38:33
51093.607,51110.06732359082,0.0003220563863983954,0.0003220563863983954,2025-12-26 19:38:33
51093.238,51110.06732359082,0.00032927609905636986,0.00032927609905636986,2025-12-26 19:38:33
51093.358,51110.06732359082,0.0003269282250212435,0.0003269282250212435,2025-12-26 19:38:33
51093.422,51110.06732359082,0.00032567602553589973,0.00032567602553589973,2025-12-26 19:38:33
51093.429,51110.06732359082,0.0003255390662172303,0.0003255390662172303,2025-12-26 19:38:33
51093.675,51110.06732359082,0.00032072592444519986,0.00032072592444519986,2025-12-26 19:38:33
51093.876,51110.06732359082,0.0003167932354365732,0.0003167932354365732,2025-12-26 19:38:33
51094.052,51110.06732359082,0.00031334968685166423,0.00031334968685166423,2025-12-26 19:38:33
51093.952,51110.06732359082,0.00031530624854767404,0.00031530624854767404,2025-12-26 19:38:33
51094.247,51110.06732359082,0.00030953439154467286,0.00030953439154467286,2025-12-26 19:38:33
51094.448,51110.06732359082,0.0003056017025360462,0.0003056017025360462,2025-12-26 19:38:33
51094.551,51110.06732359082,0.0003035864439892187,0.0003035864439892187,2025-12-26 19:38:33
51094.731,51110.06732359082,0.0003000646329366003,0.0003000646329366003,2025-12-26 19:38:33
51095.051,51110.06732359082,0.00029380363550973905,0.00029380363550973905,2025-12-26 19:38:33
51095.099,51110.06732359082,0.00029286448589566007,0.00029286448589566007,2025-12-26 19:38:33
51095.282,51110.06732359082,0.00028928397799222403,0.00028928397799222403,2025-12-26 19:38:33
51095.442,51110.06732359082,0.0002861534792787222,0.0002861534792787222,2025-12-26 19:38:33
51095.429,51110.06732359082,0.0002864078322993117,0.0002864078322993117,2025-12-26 19:38:33
51095.482,51110.06732359082,0.0002853708546003468,0.0002853708546003468,2025-12-26 19:38:33
51095.464,51110.06732359082,0.0002857230357056798,0.0002857230357056798,2025-12-26 19:38:33
51095.051,51110.06732359082,0.00029380363550973905,0.00029380363550973905,2025-12-26 19:38:33
51094.788,51110.06732359082,0.000298949392769926,0.000298949392769926,2025-12-26 19:38:33
51094.656,51110.06732359082,0.0003015320542084653,0.0003015320542084653,2025-12-26 19:38:33
51095.388,51110.06732359082,0.0002872100225945789,0.0002872100225945789,2025-12-26 19:38:33
51095.972,51110.06732359082,0.0002757837022904966,0.0002757837022904966,2025-12-26 19:38:33
51095.83,51110.06732359082,0.00027856201989866534,0.00027856201989866534,2025-12-26 19:38:33
51095.937,51110.06732359082,0.00027646849888412844,0.00027646849888412844,2025-12-26 19:38:33
51096.03,51110.06732359082,0.00027464889650693044,0.00027464889650693044,2025-12-26 19:38:33
51095.89,51110.06732359082,0.00027738808288117333,0.00027738808288117333,2025-12-26 19:38:33
51096.332,51110.06732359082,0.0002687400801852598,0.0002687400801852598,2025-12-26 19:38:33
